definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Gadecki_Olivia Gorgodze_Ekaterine
Sutjiadi_Aldila Falconi_Irina
Rey_Alba Seibold_Emily
Djakovic_Mihaela Hosonuma_Chisa
Melnikova_Marina Mattek-Sands_Bethanie
Klasen_Anna Giavara_Haley
Burillo_Irene Ponomar_Lisa
Manasse_Maegan Kang_Jiaqi
Guo_Shanshan Maria_Tatjana
Sleeth_Layne Lopatetska_Daria
Subhash_Natasha Carreras_Amanda
Bondarenko_Maria Dartron_emeline
Myers_Abbie Kimchi_Shavit
Cuk_Pia Ukolova_Anna
Heisen_Vivian Bai_Alison
Bakhmutkina_Polina Doi_Misaki
Bavisetti_Sowjanya Carrillo_Alba
Armitano_Mathilde Chiesa_Deborah
Gadient_Nicole Stokke_Melanie
Abanda_Françoise Tan_Harmony
Bilardo_Federica Davis_Emma
BreCkova_Nikola Drazic_Mariana
Primorac_Iva Selekhmeteva_Oksana
Matusova_Barbora Jimenez_Victoria
Maria_Patricia Morderger_Tayisiya
Vesnina_Elena Lys_Eva
Ioana_Laura Sakkari_Maria
Miyazaki_Yuriko Bolsova_Aliona
Khirin_Nicole Kozaki_Funa
Kontaveit_Anett Omae_Akiko
Martic_Petra Morisaki_Kanako
Lemoine_Quirine Cortez_Lucia
Gasparyan_Margarita Zheng_Qinwen
Dulgheru_Alexandra Salkova_Dominika
Katic_Vlada Brantmeier_Reese
Doroshina_Olga Salden_Lara
Mansouri_Yasmine Okuno_Ayaka
Raina_Ankita Kozyreva_Maria
Arshinkova_Petia Drahota_Dorka
Osaka_Mari Hosogi_Sakura
You_Xiaodi Boskovic_Lea
Brady_Jennifer Haddad_Beatriz
HoraCkova_Gabriela Viertler_Marion
Kuzmova_Katarina Bereznyak_Shelly
Lumsden_Maia Ganz_Fiona
Vandeweghe_CoCo Jebawy_Jasmin
Pereira_Teliana Ruppert_Lena
Hsu_Chieh-yu Hoedt_Merel
Zeballos_Noelia Rodionova_Arina
Saez_Olga Benoit_Marie
Eikeri_Ulrikke Ozaki_Risa
Dabrowski_Gabriela Liang_En-shuo
Belgraver_Julie Branstine_Carson
Tanaka_Yuuki Droguet_Aubane
Sato_Himari Williams_Venus
Cepede_Veronica Simmonds_Chanel
Bouchard_Eugenie Szabanin_Natalia
Woo_Yeon Parrizas_Nuria
Chirico_Louisa Kania_Paula
Guo_Hanyu Muhammad_Asia
Navarro_Emma Hewitt_Dalayna
Shymanovich_Iryna Ferro_Fiona
Parazinskaite_Akvile Kerkhove_Lesley
Eala_Alexandra Capurro_Martina
Gadecki_Olivia Sutjiadi_Aldila
Djakovic_Mihaela Rey_Alba
Klasen_Anna Melnikova_Marina
Manasse_Maegan Burillo_Irene
Guo_Shanshan Sleeth_Layne
Bondarenko_Maria Subhash_Natasha
Myers_Abbie Cuk_Pia
Bakhmutkina_Polina Heisen_Vivian
Armitano_Mathilde Bavisetti_Sowjanya
Abanda_Françoise Gadient_Nicole
BreCkova_Nikola Bilardo_Federica
Matusova_Barbora Primorac_Iva
Maria_Patricia Vesnina_Elena
Miyazaki_Yuriko Ioana_Laura
Khirin_Nicole Kontaveit_Anett
Martic_Petra Lemoine_Quirine
Dulgheru_Alexandra Gasparyan_Margarita
Doroshina_Olga Katic_Vlada
Raina_Ankita Mansouri_Yasmine
Arshinkova_Petia Osaka_Mari
You_Xiaodi Brady_Jennifer
Kuzmova_Katarina HoraCkova_Gabriela
Vandeweghe_CoCo Lumsden_Maia
Hsu_Chieh-yu Pereira_Teliana
Saez_Olga Zeballos_Noelia
