definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Avdeeva_Julia Hontama_Mai
Ccuno_Romina Cepelova_Jana
Lodikova_Daria Errani_Sara
Benoit_Marie Giavara_Haley
Vickery_Sachia Muhammad_Asia
Colmegna_Martina Mintegi_Ane
Brady_Jennifer Danilovic_Olga
Diyas_Zarina Reyngold_Ekaterina
Morisaki_Kanako Saigo_Rina
Catini_Chiara Han_Jiangxue
Pironkova_Tsvetana Bouzkova_Marie
Kudermetova_Polina Craciun_Georgia
Naef_Celine Martincova_Tereza
Blinkova_Anna Pereira_Teliana
Feng_Shuo Tilbuerger_Jantje
Liu_Claire Ruse_Elena-Gabriela
Romero_Leyre Kozlova_Kateryna
Alexandrova_Ekaterina Yuan_Chengyiyi
Klaffner_Melanie Oz_Ipek
Bhunu_Valeria Kulambayeva_Zhibek
Giovine_Claudia Williams_Venus
Bartone_Kamilla Mishina_Daria
Gervais_Julie Broady_Naomi
Peng_Shuai Ezzat_Yasmin
Danilina_Anna Cao_Siqi
Cortez_Lucia Burger_Cindy
Tran_Lian Ferro_Fiona
Bains_Naiktha Ganga_Eugenia
Berankova_Karolina Stokke_Melanie
Karunaratne_Adithya Scilipoti_Sebastianna
Ying_Man Anshba_Amina
Ekani_Irys Haddad_Beatriz
Vikhlyantseva_Natalia Gabueva_Angelina
Doi_Misaki Martinez_Carlota
Dalakishvili_Mariam Soboleva_Anastasiya
Chernyshova_Maryna Lee_Hua-Chen
Hartono_Arianne Han_Xinyun
Rosca_Andreea Abduraimova_Nigina
Bouzas_Jessica Belgraver_Julie
Wang_Meiling Andrianjafitrimo_Tessah
Zuger_Joanne Bolsova_Aliona
Ruppert_Lena Masarova_Rebeka
Bonaventure_Ysaline Hsieh_Su-wei
Sizikova_Yana Silich_Alina
Morgina_Anna Nagy_Adrienn
Kimmelmann_Julia Tomova_Viktoriya
Siniakova_Katerina Vidmanova_Darja
Cadar_Elena-teodora Kolzer_Romy
Liauw_Noa Bouzo_Noelia
Kaji_Haruka Vishnevskaya_Ekaterina
Azarenka_Victoria Leykina_Polina
Kiick_Allie Cheapchandej_Patcharin
Helgø_Malene Branstine_Carson
Olmos_Giuliana Lavino_Irene
Wang_Xiyu Fourlis_Jaimee
Buyukakçay_Çagla Bosio_Victoria
Bakhmutkina_Polina Routliffe_Erin
Sun_Lulu Koshiishi_Ayumi
Montgomery_Robin Niemeier_Jule
Hu_Victoria Hives_Zoe
Giorgi_Camila Milovanovic_Elena
Abe_Hiromi Yadlapalli_Pranjala
Jebawy_Jasmin Matusova_Barbora
Detiuc_Anastasia Terziyska_Julia
Avdeeva_Julia Ccuno_Romina
Lodikova_Daria Benoit_Marie
Vickery_Sachia Colmegna_Martina
Diyas_Zarina Brady_Jennifer
Catini_Chiara Morisaki_Kanako
Kudermetova_Polina Pironkova_Tsvetana
Blinkova_Anna Naef_Celine
Liu_Claire Feng_Shuo
Romero_Leyre Alexandrova_Ekaterina
Klaffner_Melanie Bhunu_Valeria
Giovine_Claudia Bartone_Kamilla
Peng_Shuai Gervais_Julie
Danilina_Anna Cortez_Lucia
Bains_Naiktha Tran_Lian
Berankova_Karolina Karunaratne_Adithya
Ying_Man Ekani_Irys
Vikhlyantseva_Natalia Doi_Misaki
Chernyshova_Maryna Dalakishvili_Mariam
Rosca_Andreea Hartono_Arianne
Bouzas_Jessica Wang_Meiling
Zuger_Joanne Ruppert_Lena
Bonaventure_Ysaline Sizikova_Yana
Morgina_Anna Kimmelmann_Julia
Siniakova_Katerina Cadar_Elena-teodora
Kaji_Haruka Liauw_Noa
Kiick_Allie Azarenka_Victoria
Olmos_Giuliana Helgø_Malene
Buyukakçay_Çagla Wang_Xiyu
Bakhmutkina_Polina Sun_Lulu
Hu_Victoria Montgomery_Robin
Abe_Hiromi Giorgi_Camila
Jebawy_Jasmin Detiuc_Anastasia
Lodikova_Daria Avdeeva_Julia
Vickery_Sachia Diyas_Zarina
Catini_Chiara Kudermetova_Polina
Liu_Claire Blinkova_Anna
Klaffner_Melanie Romero_Leyre
Giovine_Claudia Peng_Shuai
Bains_Naiktha Danilina_Anna
Berankova_Karolina Ying_Man
Chernyshova_Maryna Vikhlyantseva_Natalia
Bouzas_Jessica Rosca_Andreea
Zuger_Joanne Bonaventure_Ysaline
Siniakova_Katerina Morgina_Anna
Kaji_Haruka Kiick_Allie
Olmos_Giuliana Buyukakçay_Çagla
Hu_Victoria Bakhmutkina_Polina
Jebawy_Jasmin Abe_Hiromi
Vickery_Sachia Lodikova_Daria
Liu_Claire Catini_Chiara
Giovine_Claudia Klaffner_Melanie
Berankova_Karolina Bains_Naiktha
Bouzas_Jessica Chernyshova_Maryna
Zuger_Joanne Siniakova_Katerina
Kaji_Haruka Olmos_Giuliana
Hu_Victoria Jebawy_Jasmin
Liu_Claire Vickery_Sachia
Giovine_Claudia Berankova_Karolina
Bouzas_Jessica Zuger_Joanne
Hu_Victoria Kaji_Haruka
Liu_Claire Giovine_Claudia
Bouzas_Jessica Hu_Victoria
Bouzas_Jessica Liu_Claire
affichage_joueuses_tournoi Londres 2019
enregistrement_tournoi New-York 2019
Romer_Charlotte Antonitsch_Mira
Zhu_Lin Pera_Bernarda
Isaeva_Anhzelika Yastremska_Dayana
Fung_Stacey Samudio_Antonia
Mateas_Maria Jebawy_Jasmin
Catini_Chiara Belgraver_Julie
Juvan_Kaja Brantmeier_Reese
